rank,name,id,slug,url,score,missing_count,name_flag,missing_fields
107,"1Komma5°",2128,"1komma5-2128","https://1komma5grad.com",6,6,"","core_tech; business_model; target_market; customers; founding_year; logo(weak)"
108,"Asia Clean Energy Partners",2749,"asia-clean-energy-partners-2749","https://asiacleanenergypartners.com/",6,6,"","core_tech; business_model; funding_stage; geographies; founding_year; logo(weak)"
109,"Emergente",2750,"emergente-2750","https://www.emergente.com.co",6,6,"","business_model; funding_stage; geographies; customers; founding_year; logo(weak)"
110,"Home - Allego",1409,"home-allego-1409","https://www.allego.eu/",6,2,"name looks like a page title","customers; founding_year"
111,"Zunder",2729,"zunder-2729","https://zunder.com",6,6,"","business_model; funding_stage; geographies; customers; founding_year; logo(weak)"
112,"Toyola Energy",2302,"toyola-energy-2302","https://toyolaenergy.com",6,6,"","core_tech; business_model; target_market; customers; founding_year; logo(weak)"
113,"Standard Nuclear",1904,"standard-nuclear-1904","https://www.standardnuclear.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
114,"FlexCharging",2412,"flexcharging-2412","https://flexcharging.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
115,"Futraheat",2491,"futraheat-2491","https://www.futraheat.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
116,"AZUL Energy Inc.",2021,"azul-energy-inc-2021","https://azul-energy.co.jp/en/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
117,"RedoxBlox",2499,"redoxblox-2499","https://www.redoxblox.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
118,"TerraPower",1908,"terrapower-1908","https://www.terrapower.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
119,"Cowa Thermal Solutions",2507,"cowa-thermal-solutions-2507","https://www.cowa-ts.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
120,"Saltfoss Energy",2517,"saltfoss-energy-2517","https://www.saltfoss.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
121,"Cling Systems",2510,"cling-systems-2510","https://www.clingsystems.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
122,"Nextpower",2758,"nextpower-2758","https://nextpower.com/",5,5,"","business_model; funding_stage; geographies; customers; founding_year"
123,"Hephae Energy Technology",2882,"hephae-energy-technology-2882","https://hephaeet.com",5,5,"","business_model; geographies; customers; founding_year; logo(weak)"
124,"Eos Energy Enterprises",1911,"eos-energy-enterprises-1911","https://www.eose.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
125,"Mainspring Energy",1912,"mainspring-energy-1912","https://www.mainspringenergy.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
126,"VIA",1913,"via-1913","https://www.solvewithvia.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
127,"Re:Build Manufacturing",2697,"re-build-manufacturing-2697","https://rebuildmanufacturing.com/",5,5,"","business_model; funding_stage; geographies; founding_year; logo(weak)"
128,"Moltex Energy",2523,"moltex-energy-2523","https://www.moltexenergy.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
129,"Curio",2521,"curio-2521","https://curio.energy",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
130,"Daylight",1916,"daylight-1916","https://godaylight.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
131,"EticaAG",2223,"eticaag-2223","https://eticaag.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
132,"Zeno Power",2542,"zeno-power-2542","https://www.zenopower.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
133,"Graphyte",1920,"graphyte-1920","https://www.graphyte.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
134,"Symbrosia",1921,"symbrosia-1921","https://symbrosia.co/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
135,"Solar Landscape",1922,"solar-landscape-1922","https://solarlandscape.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
136,"HB11 Energy",2547,"hb11-energy-2547","https://www.hb11.energy",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
137,"Greenjoules",2562,"greenjoules-2562","https://www.greenjoules.in",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
138,"GoodFuels",2551,"goodfuels-2551","https://www.goodfuels.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
139,"Hydrogen Optimized",2555,"hydrogen-optimized-2555","https://www.hydrogenoptimized.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
140,"Mote",1925,"mote-1925","https://www.motehydrogen.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
141,"Simplifyber",1924,"simplifyber-1924","https://www.simplifyber.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
142,"H2SITE",2568,"h2site-2568","https://www.h2site.eu",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
143,"NovoHydrogen",2566,"novohydrogen-2566","https://www.novohydrogen.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
144,"PolyGone Systems",1927,"polygone-systems-1927","https://www.polygonesystems.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
145,"Voya",1929,"voya-1929","https://www.voya.energy/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
146,"Erg Bio",1931,"erg-bio-1931","https://ergbio.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
147,"OceanWell",1932,"oceanwell-1932","https://www.oceanwellwater.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
148,"Trinity Solar Systems",835,"trinity-solar-systems-835","https://www.trinitysolarsystems.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
149,"Anode Technology Company",1935,"anode-technology-company-1935","https://anode.tech/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
150,"COI Energy",1933,"coi-energy-1933","https://www.coienergy.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
151,"SolarWindow",1936,"solarwindow-1936","https://www.solarwindow.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
152,"Aqua Metals",2694,"aqua-metals-2694","https://www.aquametals.com/",5,5,"","business_model; funding_stage; geographies; founding_year; logo(weak)"
153,"Power to Hydrogen",1939,"power-to-hydrogen-1939","https://www.power-h2.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
154,"Wright Electric",2352,"wright-electric-2352","https://www.weflywright.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
155,"Primus Power",1942,"primus-power-1942","https://primuspower.com/en/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
156,"Sungage Financial",2592,"sungage-financial-2592","https://sungagefinancial.com",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
157,"Electron",2354,"electron-2354","https://www.flyelectron.eu",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
158,"Pivot Bio",1941,"pivot-bio-1941","https://www.pivotbio.com/",5,5,"","core_tech; target_market; customers; founding_year; logo(weak)"
